青木,あおき
青野木,あおのき
青野木下,あおのきした
青野木中,あおのきなか
青野木馬場前,あおのきばばまえ
青葉苑団地前,あおばえんだんちまえ
青葉台,あおばだい
青葉台下,あおばだいした
青葉通一番町,あおばどおりいちばんちょう
青葉病院・幸町市民センター入口,あおばびょういんさいわいちょうしみんせんたーいりぐち
青葉山植物園ゲート前,あおばやましょくぶつえんげーとまえ
青山一丁目,あおやまいっちょうめ
青山二丁目,あおやまにちょうめ
赤坂,あかさか
赤坂一丁目,あかさかいっちょうめ
赤坂一丁目東,あかさかいっちょうめひがし
赤坂三丁目,あかさかさんちょうめ
赤坂下,あかさかした
赤坂二丁目,あかさかにちょうめ
赤沼,あかぬま
揚戸,あがと
秋保大滝,あきうおおたき
秋保神社前,あきうじんじゃまえ
秋保中学校前,あきうちゅうがっこうまえ
秋保文化の里センター,あきうぶんかのさとせんたー
秋保郵便局前,あきうゆうびんきょくまえ
旭ケ丘一丁目北,あさひがおかいっちょうめきた
旭ケ丘一丁目西,あさひがおかいっちょうめにし
旭ケ丘一丁目東,あさひがおかいっちょうめひがし
地下鉄旭ケ丘駅,ちかてつあさひがおかえき
旭ケ丘三丁目,あさひがおかさんちょうめ
旭丘堤二丁目,あさひがおかつつみにちょうめ
旭ケ丘二丁目,あさひがおかにちょうめ
旭ケ丘四丁目,あさひがおかよんちょうめ
旭ケ丘四丁目北,あさひがおかよんちょうめきた
芦沢,あしざわ
あすと長町三丁目,あすとながまちさんちょうめ
あすと長町二丁目南,あすとながまちにちょうめみなみ
愛宕大橋,あたごおおはし
愛宕神社前,あたごじんじゃまえ
愛宕中学校前,あたごちゅうがっこうまえ
余目,あまるめ
愛子駅,あやしえき
愛子駅前,あやしえきまえ
愛子中央六丁目,あやしちゅうおうろくちょうめ
愛子東一丁目,あやしひがしいっちょうめ
愛子東二丁目,あやしひがしにちょうめ
愛子幼稚園前,あやしようちえんまえ
荒井,あらい
荒巻青葉,あらまきあおば
荒巻小学校前,あらまきしょうがっこうまえ
荒町,あらまち
案内公園前,あんないこうえんまえ
安養寺三丁目,あんようじさんちょうめ
安養寺二丁目,あんようじにちょうめ
安養寺二丁目中,あんようじにちょうめなか
安養寺配水所前,あんようじはいすいじょまえ
育英学園前,いくえいがくえんまえ
石垣町,いしがきまち
石場,いしば
泉川崎,いずみかわさき
泉区役所・イズミティ２１前,いずみくやくしょいずみてぃにじゅういちまえ
泉警察署前,いずみけいさつしょまえ
泉崎一丁目北,いずみざきいっちょうめきた
泉松陵高校入口,いずみしょうりょうこうこういりぐち
泉総合運動場・社会福祉センター前,いずみそうごううんどうじょうしゃかいふくしせんたーまえ
泉館山高校入口,いずみたてやまこうこういりぐち
泉館山高校前,いずみたてやまこうこうまえ
泉岳自然ふれあい館,いずみだけしぜんふれあいかん
地下鉄泉中央駅,ちかてついずみちゅうおうえき
泉中央駅北口,いずみちゅうおうえききたぐち
泉西原,いずみにしはら
泉パークタウン入口,いずみぱーくたうんいりぐち
泉ビレジ一丁目,いずみびれじいっちょうめ
泉ビレジ一丁目西,いずみびれじいっちょうめにし
泉ビレジ一丁目南,いずみびれじいっちょうめみなみ
泉ビレジ五丁目,いずみびれじごちょうめ
泉ビレジ三丁目,いずみびれじさんちょうめ
泉ビレジ二丁目,いずみびれじにちょうめ
泉ビレジ四丁目,いずみびれじよんちょうめ
いずみ墓園管理事務所前,いずみぼえんかんりじむしょまえ
一番町中郵便局前,いちばんちょうなかゆうびんきょくまえ
銀杏町,いちょうまち
五橋(東側),いつつばし
五橋(西側),いつつばし
五橋三丁目,いつつばしさんちょうめ
一本杉町,いっぽんすぎまち
一本杉町東,いっぽんすぎまちひがし
一本松,いっぽんまつ
出花団地入口,いでかだんちいりぐち
井土浜,いどはま
今泉,いまいずみ
今泉温水プール前,いまいずみおんすいぷーるまえ
今泉神社前,いまいずみじんじゃまえ
今泉中村,いまいずみなかむら
今市上区,いまいちかみく
今市中区,いまいちなかく
今市橋,いまいちばし
芋沢唄坂,いもざわうたざか
芋沢平,いもざわたいら
芋沢綱木,いもざわつなぎ
芋沢明神,いもざわみょうじん
岩切一丁目,いわきりいっちょうめ
岩切一丁目南,いわきりいっちょうめみなみ
岩切駅,いわきりえき
岩切中学校入口,いわきりちゅうがっこういりぐち
岩切東コミュニティセンター入口,いわきりひがしこみゅにてぃせんたーいりぐち
岩切分台三丁目,いわきりぶんだいさんちょうめ
岩切分台二丁目,いわきりぶんだいにちょうめ
岩谷堂入口,いわやどういりぐち
上の宿,うえのしゅく
上の原,うえのはら
牛越橋,うしごえばし
後沢,うしろざわ
後田,うしろだ
宇治沢,うじさわ
上野前,うわのまえ
ＮＴＴ八木山交換所前,えぬてぃーてぃーやぎやまこうかんじょまえ
オープン病院・教育センター前,おーぷんびょういんきょういくせんたーまえ
笈坂,おいさか
笈坂東,おいさかひがし
生出市民センター前,おいでしみんせんたーまえ
生出橋,おいでばし
扇町五丁目,おうぎまちごちょうめ
扇町三丁目,おうぎまちさんちょうめ
扇町二丁目・小鶴老人福祉センター,おうぎまちにちょうめこづるろうじんふくしせんたー
扇町四丁目,おうぎまちよんちょうめ
扇町六丁目,おうぎまちろくちょうめ
大梶,おおかじ
大國神社入口,おおくにじんじゃいりぐち
大國神社前,おおくにじんじゃまえ
大倉小学校前,おおくらしょうがっこうまえ
大倉ダム,おおくらだむ
大倉ふるさとセンター前,おおくらふるさとせんたーまえ
大崎八幡宮前,おおさきはちまんぐうまえ
大沢市民センター前,おおさわしみんせんたーまえ
大沢中学校前,おおさわちゅうがっこうまえ
大竹,おおたけ
大竹新田,おおたけしんでん
大竹原,おおたけはら
大竹原上,おおたけはらかみ
大竹南,おおたけみなみ
大手門入口,おおてもんいりぐち
大橋,おおはし
大原,おおはら
大針,おおはり
大東,おおひがし
大町西公園前,おおまちにしこうえんまえ
岡田,おかだ
市営バス岡田車庫入口,しえいばすおかだしゃこいりぐち
市営バス岡田車庫前,しえいばすおかだしゃこまえ
岡田郵便局前,おかだゆうびんきょくまえ
小角,おがく
沖野,おきの
沖野一丁目,おきのいっちょうめ
沖野三丁目,おきのさんちょうめ
沖野市民センター前,おきのしみんせんたーまえ
沖野小学校前,おきのしょうがっこうまえ
沖野中学校前,おきのちゅうがっこうまえ
沖野二丁目,おきのにちょうめ
沖野東小学校前,おきのひがししょうがっこうまえ
沖野四丁目,おきのよんちょうめ
沖野四丁目南,おきのよんちょうめみなみ
霊屋橋・瑞鳳殿入口,おたまやばしずいほうでんいりぐち
小田原一丁目,おだわらいっちょうめ
小田原二丁目,おだわらにちょうめ
落合,おちあい
落合駅入口,おちあいえきいりぐち
落合駅前,おちあいえきまえ
落合橋,おちあいばし
小原,おばら
小原上,おばらうえ
折立,おりたて
折立小学校前,おりたてしょうがっこうまえ
折立団地児童公園前,おりたてだんちじどうこうえんまえ
折立団地中央通,おりたてだんちちゅうおうどおり
折葉,おりは
卸町一丁目,おろしまちいっちょうめ
卸町入口(東側),おろしまちいりぐち
卸町入口(西側),おろしまちいりぐち
卸町会館前,おろしまちかいかんまえ
卸町三丁目・能ＢＯＸ前,おろしまちさんちょうめのうぼっくすまえ
卸町１０−ＢＯＸ前,おろしまちてんぼっくすまえ
卸町二丁目,おろしまちにちょうめ
卸町東一丁目,おろしまちひがしいっちょうめ
卸町東五丁目,おろしまちひがしごちょうめ
卸町東五丁目北,おろしまちひがしごちょうめきた
卸町東三丁目,おろしまちひがしさんちょうめ
卸町東二丁目,おろしまちひがしにちょうめ
卸町四丁目北,おろしまちよんちょうめきた
貝ケ森一丁目,かいがもりいっちょうめ
貝ケ森五丁目,かいがもりごちょうめ
貝ケ森三丁目,かいがもりさんちょうめ
貝ケ森四丁目,かいがもりよんちょうめ
貝ケ森六丁目,かいがもりろくちょうめ
開成橋,かいせいばし
科学館前,かがくかんまえ
花京院・シルバーセンター前,かきょういんしるばーせんたーまえ
加沢,かざわ
柏木二丁目,かしわぎにちょうめ
柏坊,かしわぼう
春日町,かすがまち
霞の目,かすみのめ
市営バス霞の目営業所前,しえいばすかすみのめえいぎょうしょまえ
霞の目東,かすみのめひがし
霞目飛行場前,かすみのめひこうじょうまえ
片平一丁目検察庁前,かたひらいっちょうめけんさつちょうまえ
片平丁小学校前,かたひらちょうしょうがっこうまえ
神妻,かづま
金森橋,かなもりばし
鹿野公園前,かのこうえんまえ
鹿野本町,かのほんちょう
蒲の町,かばのまち
蒲の町歩道橋前,かばのまちほどうきょうまえ
上愛子小学校前,かみあやししょうがっこうまえ
上飯田一丁目,かみいいだいっちょうめ
上飯田三丁目,かみいいださんちょうめ
上飯田西,かみいいだにし
上飯田二丁目,かみいいだにちょうめ
上飯田二丁目東,かみいいだにちょうめひがし
上飯田・ニッペリア前,かみいいだにっぺりあまえ
上飯田前田,かみいいだまえだ
上飯田四丁目,かみいいだよんちょうめ
上岡田,かみおかだ
上新田,かみしんでん
上田子,かみたご
上辺田,かみへた
上谷刈一丁目,かみやがりいっちょうめ
上谷刈一丁目東,かみやがりいっちょうめひがし
上谷刈三丁目,かみやがりさんちょうめ
上谷刈二丁目,かみやがりにちょうめ
上谷刈山添,かみやがりやまぞえ
上屋倉,かみやぐら
神屋敷,かみやしき
上山崎,かみやまざき
加茂一丁目,かもいっちょうめ
加茂一丁目西,かもいっちょうめにし
加茂入口,かもいりぐち
賀茂皇神社前,かもこうじんじゃまえ
加茂五丁目,かもごちょうめ
加茂五丁目北,かもごちょうめきた
加茂小学校前,かもしょうがっこうまえ
加茂二丁目南,かもにちょうめみなみ
加茂四丁目,かもよんちょうめ
